NAME,TEAM,SITE,PAT,TEENS,TWENTIES,THIRTIES,FORTIES,FIFTIES
Greg Zuerlein,LAR,ESPN.com,39.7,0,0,19.4,9.2,3.7
Stephen Gostkowski,NE,ESPN.com,47.9,0,0,17.6,8.3,3.3
Chris Boswell,PIT,ESPN.com,40.6,0,0,18.3,8.7,3.5
Matt Prater,DET,ESPN.com,37.7,0,0,18,8.6,3.5
Justin Tucker,BAL,ESPN.com,31.9,0,0,18.4,8.9,3.6
Robbie Gould,SF,ESPN.com,37,0,0,17.5,8.3,3.3
Matt Bryant,ATL,ESPN.com,39.4,0,0,17,8.1,3.3
Harrison Butker,KC,ESPN.com,35.7,0,0,17.8,8.4,3.4
Jake Elliott,PHI,ESPN.com,39.5,0,0,16.8,7.9,3.2
Graham Gano,CAR,ESPN.com,35.9,0,0,17.2,8.1,3.3
Adam Vinatieri,IND,ESPN.com,39.4,0,0,16.4,7.8,3.1
Wil Lutz,NO,ESPN.com,43.4,0,0,15.8,7.5,3
Daniel Carlson,MIN,ESPN.com,37.6,0,0,16.3,7.7,3.1
Ryan Succop,TEN,ESPN.com,36.7,0,0,16,7.6,3
Mason Crosby,GB,ESPN.com,40.9,0,0,15,7.1,2.8
Chandler Catanzaro,TB,ESPN.com,32.4,0,0,16.4,7.7,3.1
Dustin Hopkins,WSH,ESPN.com,33.9,0,0,16.3,7.7,3
Josh Lambo,JAX,ESPN.com,34.5,0,0,15.8,7.5,3
Sebastian Janikowski,SEA,ESPN.com,35,0,0,15.5,7.3,2.9
Dan Bailey,DAL,ESPN.com,36.2,0,0,14.7,6.9,2.8
Ka'imi Fairbairn,HOU,ESPN.com,35.8,0,0,14.9,7,2.8
Cody Parkey,CHI,ESPN.com,33.4,0,0,15.1,7.1,2.8
Stephen Hauschka,BUF,ESPN.com,29,0,0,15.6,7.4,3
Zane Gonzalez,CLE,ESPN.com,34.2,0,0,15.1,7.1,2.8
Giorgio Tavecchio,OAK,ESPN.com,33.7,0,0,15.1,7.1,2.8
Aldrick Rosas,NYG,ESPN.com,31.8,0,0,15.6,7.3,2.9
Randy Bullock,CIN,ESPN.com,32.6,0,0,14.9,7,2.8
Caleb Sturgis,LAC,ESPN.com,35.1,0,0,14.5,6.8,2.7
Brandon McManus,DEN,ESPN.com,29.9,0,0,15.5,7.3,2.9
Phil Dawson,ARI,ESPN.com,31,0,0,14.7,6.9,2.8
Jason Sanders,MIA,ESPN.com,30.3,0,0,14.4,6.8,2.7
Cairo Santos,NYJ,ESPN.com,28.1,0,0,14.5,6.9,2.7
Mike Nugent,CHI,ESPN.com,0,0,0,0,0,0
Nick Novak,LAC,ESPN.com,0,0,0,0,0,0
Nick Folk,TB,ESPN.com,0,0,0,0,0,0
Dan Carpenter,BUF,ESPN.com,0,0,0,0,0,0
Connor Barth,CHI,ESPN.com,0,0,0,0,0,0
Kai Forbath,MIN,ESPN.com,0,0,0,0,0,0
Blair Walsh,SEA,ESPN.com,0,0,0,0,0,0
Travis Coons,LAC,ESPN.com,0,0,0,0,0,0
Kasey Redfern,DET,ESPN.com,0,0,0,0,0,0
Patrick Murray,TB,ESPN.com,0,0,0,0,0,0
Jason Myers,SEA,ESPN.com,0,0,0,0,0,0
Andrew Franks,MIA,ESPN.com,0,0,0,0,0,0
Roberto Aguayo,LAC,ESPN.com,0,0,0,0,0,0
Younghoe Koo,LAC,ESPN.com,0,0,0,0,0,0
Nick Rose,LAC,ESPN.com,0,0,0,0,0,0
Sam Ficken,LAR,ESPN.com,0,0,0,0,0,0
