NAME,TEAM,PAT,TEENS,TWENTIES,THIRTIES,FORTIES,FIFTIES
Eddy Pineiro,OAK,0,0,0,0,0,0
Younghoe Koo,NFL,9,0,2,0,1,0
Brandon McManus,DEN,27,0,6,11,4,3
Jason Myers,SEA,15,0,4,2,5,0
Randy Bullock,CIN,31,0,6,7,4,1
Adam Vinatieri,IND,22,0,11,7,6,5
Roberto Aguayo,LAC,0,0,0,0,0,0
Taylor Bertolet,NYJ,0,0,0,0,0,0
Cairo Santos,NYJ,14,0,0,4,0,0
Sebastian Janikowski,SEA,0,0,0,0,0,0
David Marvin,ATL,0,0,0,0,0,0
Harrison Butker,KC,28,0,8,16,10,4
Jason Sanders,MIA,0,0,0,0,0,0
Dustin Hopkins,WAS,18,1,7,2,4,0
Kai Forbath,MIN,34,0,8,12,6,6
Jake Elliott,PHI,39,0,5,4,12,5
Robbie Gould,SF,28,0,7,11,17,4
Zane Gonzalez,CLE,25,0,5,4,4,2
Wil Lutz,NO,47,0,10,4,13,4
Graham Gano,CAR,34,0,8,11,10,0
Mason Crosby,GB,33,0,8,2,4,1
Stephen Gostkowski,NE,45,0,16,9,8,4
Stephen Hauschka,BUF,29,0,6,9,7,7
Cody Parkey,CHI,26,0,6,8,6,1
Brett Maher,DAL,0,0,0,0,0,0
Mike Badgley,IND,0,0,0,0,0,0
Sam Ficken,LA,4,0,2,0,0,0
Chris Boswell,PIT,37,0,10,12,9,4
Jon Brown,CIN,0,0,0,0,0,0
Matt Bryant,ATL,35,1,6,10,9,8
Justin Tucker,BAL,39,0,7,11,11,5
Josh Lambo,JAX,22,0,2,11,4,2
Garrett Hartley,NFL,0,0,0,0,0,0
Marshall Koehn,NYG,1,0,0,0,0,0
Aldrick Rosas,NYG,20,0,8,3,4,3
Phil Dawson,ARI,23,1,7,10,10,4
Giorgio Tavecchio,OAK,33,0,5,5,3,3
Blair Walsh,NFL,37,0,6,7,8,0
Matt McCrane,ARI,0,0,0,0,0,0
Caleb Sturgis,LAC,1,0,0,1,1,1
Ka'imi Fairbairn,HOU,32,0,3,8,6,3
Greg Zuerlein,LA,44,1,8,11,12,6
Daniel Carlson,MIN,0,0,0,0,0,0
Dan Bailey,DAL,26,1,3,4,4,3
Chandler Catanzaro,TB,29,1,6,4,12,2
Ryan Succop,TEN,31,0,10,7,16,2
Trevor Moore,TB,0,0,0,0,0,0
Nick Rose,NFL,23,0,6,3,1,1
Matt Prater,DET,40,2,4,10,7,7
